postcode_sector,average_price,percentage_average_price
SW10 9,1700000,256
SW11 1,890000,133
SW11 2,658000,98
SW11 3,637000,95
SW11 4,1200000,180
SW11 5,756000,113
SW11 6,1500000,216
SW11 7,896000,133
SW11 8,1100000,167
SW12 0,758000,113
SW12 8,963000,143
SW12 9,744000,111
SW13 0,1300000,199
SW13 8,1100000,163
SW13 9,1800000,268
SW14 7,1200000,184
SW14 8,958000,143
SW15 1,894000,133
SW15 2,723000,108
SW15 3,681000,101
SW15 4,296000,44
SW15 5,807000,120
SW15 6,885000,132
SW16 1,652000,97
SW16 2,531000,79
SW16 3,715000,106
SW16 4,455000,68
SW16 5,558000,83
SW16 6,550000,82
SW17 0,599000,89
SW17 6,502000,75
SW17 7,740000,110
SW17 8,864000,129
SW17 9,589000,88
SW18 1,718000,107
SW18 2,794000,118
SW18 3,1000000,150
SW18 4,586000,87
SW18 5,920000,137
SW19 1,631000,94
SW19 2,497000,74
SW19 3,885000,132
SW19 4,1100000,157
SW19 5,2100000,320
SW19 6,541000,81
SW19 7,1600000,239
SW19 8,809000,121
SW1A 2,4500000,677
SW1E 5,2900000,434
SW1E 6,3100000,468
SW1H 0,1400000,206
SW1H 9,427000,64
SW1P 1,925000,138
SW1P 2,1100000,157
SW1P 3,1900000,289
SW1P 4,860000,128
SW1V 1,1200000,177
SW1V 2,1000000,150
SW1V 3,669000,100
SW1V 4,905000,135
SW1W 0,4500000,677
SW1W 8,2200000,330
SW1W 9,2600000,381
SW1X 0,2700000,405
SW1X 7,5100000,761
SW1X 8,2700000,406
SW1X 9,2200000,321
SW1Y 4,495000,74
SW1Y 5,31000000,4618
SW1Y 6,1100000,167
SW2 1,529000,79
SW2 2,642000,96
SW2 3,543000,81
SW2 4,530000,79
SW2 5,602000,90
SW20 0,1100000,157
SW20 8,668000,99
SW20 9,704000,105
SW3 1,2100000,319
SW3 2,1800000,268
SW3 3,1500000,223
SW3 4,2300000,345
SW3 5,1700000,254
SW3 6,3900000,575
SW4 0,853000,127
SW4 6,641000,95
SW4 7,634000,94
SW4 8,751000,112
SW4 9,1100000,159
SW5 0,1200000,184
